course_name,course_id,professor,course_description,session,days,time,prof_search,mean_rating,mean_workload,graph_rating,graph_workload,url
Seminar: Political and Economic Development (spring),DEV 150Y,Matuszeski,"This seminar is designed to support MPP-2 students writing their Policy Analysis Exercise in the areas of international development, political economy, and economic development.  The course is structured to support students as they identify the topic on which they will focus, clarify the problem they will be addressing, develop a strategy to gather information to address the problem, analyze their findings, develop recommendations, and produce the final product.  Over the fall we will",Full Term,Th,3:00pm - 4:15pm,"Matuszeski, Janina",4.035,3.3375,-0.399666666666667,0.0351666666666666,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(DEV 150Y(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Speechwriting,DPI 835M B,Mazzola,"What makes a speech persuasive and memorable – and how do you write one? How can storytelling help political, corporate, and community leaders achieve their goals? What is the role of the speech in our country’s evolving dialogue? This course will explore the techniques speechwriters and speakers use, from research to rhetoric, to shape messages that move people and change the world.",Spring 1,T,4:30pm - 7:15pm,*New*,,,,,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(DPI 835M B(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
"Queer Nation: LGBTQ Protest, Politics, and Policy in the United States",DPI 376,McCarthy,"In this course, we will explore the political and politicized lives of lesbian, gay, bisexual, transgender, and queer peoples living in the United States, focusing on the period from World War II to the present. Centering both an intersectional analysis and historical critique of “progress,” we will focus our attention on the interrelationship between protest (how LGBTQ people have organized themselves and expressed their demands in the face of systemic oppression), politics (how LGB",Full Term,M/W,1:30pm - 2:45pm,"McCarthy, Timothy",4.769230769230769,3.482564102564103,0.334564102564102,0.18023076923077,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(DPI 376(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Empirical Methods II,API 203M C,McKenna,"This course is a 6-week module that follows on API-202M, allowing students to further specialize in a particular area of evidence for policy making. First year MPP students can select among the following three options. Section A (Michela Carlana) Causal Inference and Prediction: This module will delve deeper into quantitatively evaluating the impact of programs through quasi-experimental study designs, and assessing the strengths and weaknesses of different approaches. Students will also be",Spring 2,T/Th,10:30am - 11:45am,*New*,,,,,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(API 203M C(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Mixed Methods Analytics for Leaders and Policy Makers,MLD 615M,McKenna,"Leaders and policy makers often need to integrate different kinds of data and analysis: campaign managers combine statistical models with on-the-ground conversations with voters, policymakers can conduct focus groups with health workers to understand population-level disparities in care, and movement organizers increasingly blend social network analysis with ethnographic fieldwork to power map their communities. In this course, we will explore the advantages and disadvantages of m",Spring 1,F,9:00am - 10:15am,*New*,,,,,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(MLD 615M(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Programming and Data for Policymakers,DPI 691M A,"Mehta, Dhrumil","Data and code are no longer just for programmers. Policymakers in the 21st century, from members of Congress to analysts and executives need to be equipped with the necessary skills to navigate nuanced issues at the intersection of technology and governance. Those who have first-hand experience with programming, data, software development and management methods, open source collaboration, and technology innovation are better prepared to competently navigate these issues. In the course of te",January,M/T/W/Th/F/S,10:00am - 2:00pm,"Mehta, Dhrumil",4.7309090909090905,4.129090909090909,0.296242424242424,0.826757575757576,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(DPI 691M A(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Programming and Data for Policymakers,DPI 691M B,"Mehta, Dhrumil","Data and code are no longer just for programmers. Policymakers in the 21st century, from members of Congress to analysts and executives need to be equipped with the necessary skills to navigate nuanced issues at the intersection of technology and governance. Those who have first-hand experience with programming, data, software development and management methods, open source collaboration, and technology innovation are better prepared to competently navigate these issues. In the course of te",January,M/T/W/Th/F/S,4:00pm - 8:00pm,"Mehta, Dhrumil",4.7309090909090905,4.129090909090909,0.296242424242424,0.826757575757576,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(DPI 691M B(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Public and Private Development,SUP 668,Meltzer,"Cities are developed by a complex blend of public and private actors and actions. This course employs a combination of lectures, discussions, readings, case studies, and individual and group exercises to help students understand, evaluate, and implement public and private development. The course commences with instruction about core analytic methods, emphasizing real estate financial analysis while also addressing modified cost-benefit, economic impact, and fiscal impact analyses. Early classes",Full Term,M/W,12:00pm - 1:15pm,"Meltzer, Rachel",5.0,4.0,0.565333333333333,0.697666666666667,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(SUP 668(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Economics of Climate Change and Environmental Policy,API 135,Mettetal,"Provides a survey, from the perspective of economics, of global climate change and public policies to address it, including international, regional, national, and sub-national policies.  The political economy and politics of alternative policies are also covered.  Methodological topics that are broadly relevant for other resource and environmental issues are featured.",Full Term,M/W,1:30pm - 2:45pm,*New*,,,,,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(API 135(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
"Race, Inequality, and American Democracy",DPI 391,Muhammad,"The United States’ global dominance has long been the envy of the world. But the role of race to native born and newcomer alike has been treated often as aberrational, an unfortunate artifact of the nation’s past. This course examines the nature of race at the heart of the American project through the lens of wealth creation, labor markets, political culture, social institutions, immigration and civic life. Although race often attaches to people of color, racial identity and ideology",Full Term,T,4:30pm - 7:15pm,"Muhammad, Khalil",4.452222222222222,3.74,0.0175555555555551,0.437666666666666,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(DPI 391(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
The Politics of Development,DPI 410,Nair,"Development is a political process. It creates winners and losers while requiring cooperation among powerful competing interests and coalitions. This course is a broad-gauged introduction to how politics works (and fails) to manage conflict, generate economic growth, and ensure the representation of broad rather than narrow groups. We examine core theories of political competition, institutions, state-building, conflict, regulation, culture, and entrepreneurship and evaluate these theories again",Full Term,T/Th,1:30pm - 2:45pm,"Nair, Gautam",4.11,3.49,-0.324666666666666,0.187666666666667,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(DPI 410(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Developing People,MLD 502,O'Brien,"This course is for: This course is designed for the practitioner, change agent and adult still wondering who and what they are going to be when they “grow up.” This course is for anyone who knows they need more capacity and bandwidth to do the work they want to do and make the impact they want to make. This course is for anyone who will be managing, training and supervising people. This course is for the HKS student looking to protect some time and space to focus on their own gr",Full Term,M/W,12:00pm - 1:15pm,"O'Brien, Timothy",4.436,3.5980000000000003,0.0013333333333331,0.295666666666667,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(MLD 502(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Exercising Leadership: The Politics of Change,MLD 201 C,O'Doherty,"This course provides a diagnostic and strategic foundation for leadership practice.  Designed for professionals from diverse backgrounds and cultures, the course builds upon the extraordinary experience of many of our students. The purpose of the course is to increase one’s capacity to lead with and without authority, across boundaries, and from any political or organizational position. In a world in which most organizations, communities, and societies face enormous adaptive pres",Full Term,T/Th,1:30pm - 2:45pm,"O'Doherty, Hugh",4.327777777777778,4.086666666666667,-0.106888888888888,0.784333333333334,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(MLD 201 C(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Principles and Politics When Running for Office,MLD 326,Patrick,"This course is for those considering running for public office. We will examine the promise and potential of principled, effective leadership in public office against the complicated realities of campaigning today. This course will prompt students to examine their personal motivation for seeking office, how that can ground both their campaign decisions and official actions, and the challenges and opportunities of sustaining (or changing) that original motivation through a campaign and term of se",Full Term,W,4:30pm - 7:15pm,"Moynihan, Patrick",2.0,3.335,-2.43466666666667,0.0326666666666666,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(MLD 326(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
"Seminar: Democracy, Politics, and Institutions (spring)",DPI 150Y,Patterson,"This seminar is designed to support MPP-2 students writing their Policy Analysis Exercise in the areas of democracy, politics, and institutions.  The course is structured to support students as they identify the topic on which they will focus, clarify the problem they will be addressing, develop a strategy to gather information to address the problem, analyze their findings, develop recommendations, and produce the final product.  Over the fall we will focus the class sessions on gaini",Full Term,Th,3:00pm - 4:15pm,"Patterson, Thomas",4.337391304347826,3.2860869565217383,-0.0972753623188405,-0.016246376811595,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(DPI 150Y(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Who Governs? Power in America,DPI 127,Patterson,"Through case studies, this course will explore the distribution of power in America. Among other issues, the course will examine immigration, climate change, war powers, race, healthcare, monetary policy, trade, tax policy, voter suppression, and campaign spending. Except for a few historical cases, the cases will be current or recent. The cases will be designed to help students understand the power dynamics of American politics and to strengthen their analysis and communication skills. Assignme",Full Term,,9:00am - 10:15am,"Patterson, Thomas",4.337391304347826,3.2860869565217383,-0.0972753623188405,-0.016246376811595,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(DPI 127(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Product Management and Society: Building Technology in the Public Interest,DPI 678M B,Pham,"Intended for those interested in understanding the critical role of a product manager to build technology services in the public sector or in mission focused private sector.  All levels of product management experience welcomed; no experience in software, product management, or design necessary.Delivering critical services to the public requires building technology that works for people and for society. In environments like the public, non-profit, and mission-oriented private sectors, this",Spring 1,T/Th,1:30pm - 2:45pm,"Pham, Kathy",4.5120000000000005,2.78,0.0773333333333337,-0.522333333333334,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(DPI 678M B(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
The Business-Government Relationship in the United States,BGP 100,"Porter, Roger",This survey course is designed to help students think analytically about the ways in which government and business interact with one another in a mixed economy. It examines: (1) how business and government are organized and how they seek to influence one another; (2) how government policies affect the competitive positions of individual firms and industries and how firms and industries compete to influence such policies; (3) the ways in which government policies affect economic growth and the wa,Full Term,T/Th,12:00pm - 1:15pm,"Porter, Roger",4.5261538461538455,3.0688461538461533,0.0914871794871788,-0.23348717948718,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(BGP 100(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Advanced Data and Information Visualization,DPI 852M,"Qu, Hong","Data visualizations can inform, explain, and sway public opinion and policy decisions. For example, we rely on visual representations of dynamic trends throughout the pandemic as portrayed by charts, maps, and dashboards. This course imparts design thinking and data ethics frameworks, along with practical data software skills, to explore data and present meaningful information visually.  Students work on iterative design projects to develop visual communication acumen for conveying insights",Spring 1,M/W,3:00pm - 4:15pm,"Qu, Hong",4.756666666666667,2.93,0.322,-0.372333333333334,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(DPI 852M(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Second-Year Policy Analysis Seminar (spring),DEV 250Y B,Reinhart,"This is a required second-year paper for students in the MPA/ID program, aimed at integrating course work through the application of analytic tools to a policy and institutional problem. The goal is to produce recommendations for policymakers that are technically rigorous, practical, and politically relevant. Students will work with seminar leaders and faculty advisors to conceptualize policy and institutional problems for a client. Some students establish a real relationship with a client, but",Full Term,Th,3:00pm - 4:15pm,"Reinhart, Carmen",4.368888888888889,3.4444444444444446,-0.0657777777777779,0.142111111111111,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(DEV 250Y B(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Financial Crises: Concepts and Evidence,BGP 670,Reinhart,"This course covers topics on currency, banking, inflation, and debt crises as well as international financial contagion. Issues pertaining to monetary/financial, exchange rate, debt restructuring, and fiscal policy in connection with the antecedents and aftermath of crises are studied at both the theoretical and empirical levels. The role of current account dynamics, international capital flows, financial integration, and world commodity price cycles as these relate to recurring economic booms a",Full Term,T/Th,1:30pm - 2:45pm,"Reinhart, Carmen",4.368888888888889,3.4444444444444446,-0.0657777777777779,0.142111111111111,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(BGP 670(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Moral Leadership: Ethics in Public Life,DPI 202,Risse,"DPI-202 examines moral leadership in the context of professional public service. It focuses on cultivating proficiency in a range of skills that together help to ground moral action. These skills include: 1) accurately perceiving the moral dimensions of situations that arise in public service, 2) adequately weighing moral tradeoffs that have to be made as part of strategic action, and 3) effectively putting into reflective equilibrium, the verdicts of the heart and those of the head. Additionall",Full Term,M/W,1:30pm - 2:45pm,"Risse, Mathias",3.8880769230769223,3.329615384615385,-0.546589743589744,0.0272820512820515,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(DPI 202(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
